排名,行业名称,平均涨幅,股票数量,count
1,石油开采,34.77,21,21
2,石油贸易,17.63,4,4
3,火力发电,12.95,31,31
4,水力发电,12.15,22,22
5,水运,11.64,19,19
6,黄金,10.63,10,10
7,化工机械,9.8,13,13
8,特种钢,9.61,10,10
9,焦炭加工,9.36,7,7
10,种植业,9.08,19,19
11,新型电力,8.82,30,30
12,煤炭开采,8.69,26,26
13,供气供热,7.95,45,45
14,铅锌,7.94,14,14
15,石油加工,6.83,14,14
16,小金属,6.71,64,64
17,普钢,5.24,26,26
18,铝,5.01,30,30
19,农药化肥,4.94,58,58
20,矿物制品,4.48,35,35
21,环境保护,3.71,121,121
22,电气设备,3.67,340,340
23,港口,3.59,16,16
24,公路,3.53,3,3
25,钢加工,3.24,22,22
26,铜,2.94,18,18
27,水务,1.98,15,15
28,化工原料,1.7,255,255
29,船舶,1.38,11,11
30,铁路,1.25,7,7
31,电信运营,1.23,5,5
32,多元金融,1.06,23,23
33,批发业,0.99,5,5
34,林业,0.92,4,4
35,元器件,0.86,300,300
36,陶瓷,0.6,5,5
37,啤酒,0.56,8,8
38,饲料,0.55,23,23
39,商贸代理,0.48,17,17
40,纺织机械,0.43,11,11
41,建筑工程,0.19,129,129
42,路桥,0.19,19,19
43,玻璃,0.14,19,19
44,仓储物流,0.04,46,46
45,农业综合,-0.07,43,43
46,机械基件,-0.15,133,133
47,银行,-0.23,42,42
48,电器连锁,-0.27,2,2
49,通信设备,-0.47,135,135
50,专用机械,-0.5,283,283
51,其他建材,-0.56,30,30
52,运输设备,-0.68,49,49
53,橡胶,-0.74,17,17
54,航空,-0.78,54,54
55,其他商业,-1.28,12,12
56,塑料,-1.4,78,78
57,水泥,-1.49,23,23
58,化纤,-1.72,34,34
59,纺织,-1.85,42,42
60,综合类,-2.0,18,18
61,酒店餐饮,-2.28,9,9
62,摩托车,-2.33,12,12
63,电器仪表,-2.38,105,105
64,工程机械,-2.41,38,38
65,中成药,-2.44,68,68
66,机床制造,-2.74,24,24
67,农用机械,-2.76,13,13
68,半导体,-2.86,193,193
69,装修装饰,-2.97,26,26
70,公共交通,-3.04,7,7
71,食品,-3.07,93,93
72,区域地产,-3.11,44,44
73,服饰,-3.12,64,64
74,轻工机械,-3.16,7,7
75,造纸,-3.23,34,34
76,家用电器,-3.24,91,91
77,医药商业,-3.29,37,37
78,乳制品,-3.35,21,21
79,染料涂料,-3.35,34,34
80,家居用品,-3.49,71,71
81,化学制药,-3.61,148,148
82,IT设备,-3.62,78,78
83,医疗保健,-3.64,181,181
84,证券,-3.72,49,49
85,房产服务,-3.87,13,13
86,汽车服务,-3.9,10,10
87,软饮料,-4.01,9,9
88,汽车整车,-4.02,22,22
89,全国地产,-4.22,26,26
90,百货,-4.26,35,35
91,汽车配件,-4.37,256,256
92,文教休闲,-4.5,52,52
93,旅游景点,-4.59,18,18
94,渔业,-4.61,7,7
95,红黄酒,-4.72,9,9
96,商品城,-5.0,4,4
97,超市连锁,-5.3,8,8
98,生物制药,-5.31,80,80
99,机场,-5.35,5,5
100,园区开发,-5.55,14,14
101,软件服务,-6.19,279,279
102,日用化工,-6.3,20,20
103,出版业,-6.57,29,29
104,保险,-6.85,5,5
105,白酒,-7.19,20,20
106,广告包装,-7.39,54,54
107,旅游服务,-7.42,8,8
108,空运,-9.7,8,8
109,互联网,-10.01,80,80
110,影视音像,-15.27,35,35
