排名,行业名称,平均涨幅,股票数量,count
1,石油开采,18.32,21,21
2,黄金,17.8,9,9
3,玻璃,16.54,18,18
4,石油贸易,10.48,4,4
5,焦炭加工,10.02,7,7
6,批发业,8.13,5,5
7,铅锌,7.61,14,14
8,煤炭开采,6.91,26,26
9,船舶,6.2,11,11
10,白酒,5.9,20,20
11,其他建材,5.82,29,29
12,种植业,5.77,19,19
13,铜,5.65,18,18
14,染料涂料,4.82,33,33
15,新型电力,4.08,30,30
16,矿物制品,4.05,34,34
17,全国地产,3.67,26,26
18,钢加工,3.54,23,23
19,影视音像,3.43,35,35
20,通信设备,3.4,135,135
21,小金属,3.18,64,64
22,普钢,2.88,25,25
23,专用机械,2.85,279,279
24,化工机械,2.78,13,13
25,服饰,2.52,65,65
26,铝,2.51,30,30
27,综合类,2.39,19,19
28,水运,2.34,19,19
29,家居用品,2.31,71,71
30,水泥,2.23,23,23
31,陶瓷,1.99,5,5
32,港口,1.93,16,16
33,航空,1.91,53,53
34,区域地产,1.91,44,44
35,房产服务,1.82,13,13
36,造纸,1.71,33,33
37,装修装饰,1.52,26,26
38,工程机械,1.42,38,38
39,渔业,1.3,7,7
40,塑料,1.29,78,78
41,农药化肥,1.28,57,57
42,电气设备,1.27,339,339
43,环境保护,1.18,121,121
44,互联网,1.05,79,79
45,纺织机械,1.04,11,11
46,林业,1.0,4,4
47,出版业,0.99,29,29
48,红黄酒,0.86,9,9
49,酒店餐饮,0.85,9,9
50,供气供热,0.79,45,45
51,路桥,0.78,19,19
52,机场,0.63,5,5
53,特种钢,0.62,10,10
54,纺织,0.52,42,42
55,建筑工程,0.46,129,129
56,银行,0.45,42,42
57,运输设备,0.36,49,49
58,机械基件,0.3,134,134
59,元器件,0.28,301,301
60,保险,0.28,5,5
61,广告包装,0.13,53,53
62,石油加工,-0.03,14,14
63,乳制品,-0.05,21,21
64,商贸代理,-0.05,17,17
65,橡胶,-0.07,17,17
66,仓储物流,-0.11,45,45
67,医药商业,-0.26,37,37
68,园区开发,-0.27,14,14
69,空运,-0.28,8,8
70,公共交通,-0.29,7,7
71,化工原料,-0.58,256,256
72,水力发电,-0.71,22,22
73,文教休闲,-0.74,52,52
74,铁路,-0.75,7,7
75,电器仪表,-0.85,105,105
76,中成药,-0.97,68,68
77,化纤,-1.01,34,34
78,旅游景点,-1.04,18,18
79,多元金融,-1.1,23,23
80,啤酒,-1.11,8,8
81,医疗保健,-1.13,177,177
82,证券,-1.2,50,50
83,农业综合,-1.37,43,43
84,饲料,-1.41,23,23
85,农用机械,-1.42,13,13
86,汽车整车,-1.54,22,22
87,软饮料,-1.54,9,9
88,食品,-1.63,93,93
89,汽车配件,-1.67,258,258
90,化学制药,-1.98,148,148
91,半导体,-1.98,191,191
92,火力发电,-2.0,31,31
93,家用电器,-2.03,91,91
94,日用化工,-2.14,20,20
95,超市连锁,-2.24,8,8
96,旅游服务,-2.26,8,8
97,电信运营,-2.27,5,5
98,软件服务,-2.37,281,281
99,百货,-2.54,35,35
100,水务,-2.72,15,15
101,汽车服务,-2.73,10,10
102,生物制药,-2.74,80,80
103,电器连锁,-2.9,2,2
104,其他商业,-2.92,12,12
105,IT设备,-2.93,78,78
106,机床制造,-2.97,24,24
107,轻工机械,-2.97,7,7
108,商品城,-3.61,4,4
109,摩托车,-3.7,12,12
110,公路,-7.33,3,3
