排名,行业名称,平均涨幅,股票数量,count
1,玻璃,14.33,19,19
2,船舶,12.17,11,11
3,矿物制品,7.61,35,35
4,石油开采,7.07,21,21
5,铅锌,6.88,14,14
6,小金属,6.66,64,64
7,煤炭开采,6.55,26,26
8,铜,5.84,18,18
9,农药化肥,5.35,58,58
10,石油加工,4.89,14,14
11,元器件,4.72,301,301
12,半导体,4.68,193,193
13,水运,4.5,19,19
14,通信设备,3.89,135,135
15,化工机械,3.86,13,13
16,机械基件,3.86,133,133
17,黄金,3.8,10,10
18,火力发电,3.73,31,31
19,纺织机械,3.55,11,11
20,陶瓷,3.42,5,5
21,化工原料,3.41,256,256
22,综合类,3.4,18,18
23,橡胶,3.38,17,17
24,工程机械,3.35,38,38
25,石油贸易,3.29,4,4
26,特种钢,3.23,10,10
27,钢加工,3.19,22,22
28,专用机械,3.08,281,281
29,机床制造,3.08,24,24
30,电气设备,3.07,341,341
31,IT设备,2.98,78,78
32,环境保护,2.91,121,121
33,建筑工程,2.83,129,129
34,化纤,2.76,34,34
35,摩托车,2.53,12,12
36,航空,2.52,53,53
37,电器仪表,2.39,105,105
38,运输设备,2.36,49,49
39,软件服务,2.28,278,278
40,渔业,2.2,7,7
41,染料涂料,2.14,33,33
42,新型电力,2.13,30,30
43,普钢,2.11,25,25
44,造纸,2.06,33,33
45,汽车配件,2.06,255,255
46,塑料,2.06,78,78
47,公共交通,2.05,7,7
48,出版业,2.02,29,29
49,汽车服务,1.97,10,10
50,铝,1.77,30,30
51,轻工机械,1.69,7,7
52,装修装饰,1.62,26,26
53,区域地产,1.57,44,44
54,家居用品,1.54,71,71
55,汽车整车,1.49,22,22
56,农用机械,1.49,13,13
57,家用电器,1.45,91,91
58,文教休闲,1.34,52,52
59,仓储物流,1.33,46,46
60,电器连锁,1.28,2,2
61,供气供热,1.27,45,45
62,商贸代理,1.23,17,17
63,水力发电,1.12,22,22
64,焦炭加工,1.11,7,7
65,广告包装,0.99,53,53
66,水泥,0.69,23,23
67,全国地产,0.64,26,26
68,种植业,0.6,19,19
69,其他建材,0.54,30,30
70,园区开发,0.53,14,14
71,水务,0.32,15,15
72,互联网,0.24,80,80
73,港口,0.24,16,16
74,农业综合,0.02,43,43
75,纺织,-0.13,42,42
76,中成药,-0.17,68,68
77,医疗保健,-0.2,179,179
78,多元金融,-0.26,23,23
79,饲料,-0.29,23,23
80,林业,-0.34,4,4
81,啤酒,-0.37,8,8
82,商品城,-0.41,4,4
83,房产服务,-0.45,13,13
84,其他商业,-0.46,12,12
85,生物制药,-0.47,80,80
86,铁路,-0.53,7,7
87,化学制药,-0.56,148,148
88,路桥,-0.65,19,19
89,影视音像,-0.72,35,35
90,证券,-1.1,50,50
91,电信运营,-1.11,5,5
92,医药商业,-1.25,37,37
93,红黄酒,-1.33,9,9
94,银行,-1.45,42,42
95,批发业,-1.51,5,5
96,服饰,-1.69,65,65
97,机场,-1.7,5,5
98,食品,-2.2,93,93
99,乳制品,-2.71,21,21
100,日用化工,-2.76,20,20
101,软饮料,-3.15,9,9
102,保险,-3.7,5,5
103,公路,-4.1,3,3
104,旅游服务,-4.17,8,8
105,百货,-4.22,35,35
106,酒店餐饮,-4.48,9,9
107,旅游景点,-4.8,18,18
108,白酒,-5.07,20,20
109,超市连锁,-5.44,8,8
110,空运,-5.83,8,8
