排名,行业名称,平均涨幅,股票数量,count
1,玻璃,18.79,19,19
2,船舶,12.67,11,11
3,小金属,12.35,64,64
4,铅锌,12.25,14,14
5,矿物制品,11.43,35,35
6,特种钢,9.63,10,10
7,铜,8.93,18,18
8,半导体,8.45,193,193
9,元器件,8.31,301,301
10,水运,7.99,19,19
11,火力发电,7.86,31,31
12,农药化肥,7.84,58,58
13,普钢,7.57,25,25
14,石油开采,7.13,21,21
15,煤炭开采,7.01,26,26
16,钢加工,6.92,22,22
17,机械基件,6.88,133,133
18,环境保护,6.69,121,121
19,纺织机械,6.5,11,11
20,化工原料,5.95,256,256
21,通信设备,5.78,135,135
22,陶瓷,5.75,5,5
23,电气设备,5.42,340,340
24,专用机械,5.25,280,280
25,机床制造,5.09,24,24
26,化工机械,5.07,13,13
27,航空,4.9,53,53
28,橡胶,4.53,17,17
29,电器连锁,4.25,2,2
30,工程机械,4.09,38,38
31,化纤,3.95,33,33
32,铝,3.85,30,30
33,IT设备,3.84,78,78
34,运输设备,3.81,49,49
35,新型电力,3.8,30,30
36,建筑工程,3.74,129,129
37,造纸,3.73,33,33
38,电器仪表,3.6,105,105
39,染料涂料,3.52,33,33
40,综合类,3.34,18,18
41,塑料,3.29,78,78
42,出版业,3.11,29,29
43,石油加工,3.02,14,14
44,装修装饰,2.99,26,26
45,水力发电,2.96,22,22
46,商贸代理,2.88,17,17
47,种植业,2.87,19,19
48,黄金,2.85,10,10
49,软件服务,2.83,278,278
50,农用机械,2.78,13,13
51,汽车配件,2.59,255,255
52,仓储物流,2.31,46,46
53,石油贸易,2.3,4,4
54,摩托车,2.27,12,12
55,公共交通,2.13,7,7
56,其他建材,2.12,30,30
57,轻工机械,1.99,7,7
58,汽车服务,1.78,10,10
59,区域地产,1.76,44,44
60,房产服务,1.74,13,13
61,供气供热,1.73,45,45
62,水务,1.72,15,15
63,农业综合,1.55,43,43
64,港口,1.55,16,16
65,水泥,1.33,23,23
66,家用电器,1.31,91,91
67,文教休闲,1.3,52,52
68,家居用品,1.03,71,71
69,渔业,0.87,7,7
70,多元金融,0.81,23,23
71,全国地产,0.81,26,26
72,焦炭加工,0.68,7,7
73,其他商业,0.66,12,12
74,纺织,0.63,42,42
75,饲料,0.55,23,23
76,林业,0.34,4,4
77,啤酒,0.29,8,8
78,园区开发,0.18,14,14
79,中成药,0.08,68,68
80,医疗保健,-0.08,179,179
81,汽车整车,-0.13,22,22
82,广告包装,-0.33,53,53
83,化学制药,-0.34,147,147
84,生物制药,-0.35,80,80
85,铁路,-0.35,7,7
86,路桥,-0.76,19,19
87,电信运营,-0.82,5,5
88,批发业,-0.87,5,5
89,互联网,-1.0,80,80
90,证券,-1.04,50,50
91,商品城,-1.24,4,4
92,医药商业,-1.48,37,37
93,食品,-1.72,93,93
94,服饰,-1.78,64,64
95,银行,-2.12,42,42
96,机场,-2.22,5,5
97,红黄酒,-2.7,9,9
98,软饮料,-2.82,9,9
99,日用化工,-2.98,20,20
100,乳制品,-3.03,21,21
101,酒店餐饮,-3.64,9,9
102,影视音像,-3.65,35,35
103,旅游服务,-3.97,8,8
104,空运,-4.58,8,8
105,公路,-4.84,3,3
106,百货,-4.88,35,35
107,白酒,-5.25,20,20
108,旅游景点,-5.28,18,18
109,保险,-6.04,5,5
110,超市连锁,-7.01,8,8
