排名,行业名称,平均涨幅,股票数量,count
1,船舶,11.14,11,11
2,影视音像,10.55,35,35
3,玻璃,6.92,18,18
4,渔业,4.47,7,7
5,公共交通,3.46,7,7
6,出版业,3.31,29,29
7,房产服务,3.3,13,13
8,家居用品,3.1,71,71
9,区域地产,3.04,44,44
10,白酒,3.02,20,20
11,煤炭开采,3.02,26,26
12,造纸,2.92,33,33
13,银行,2.58,42,42
14,陶瓷,2.11,5,5
15,染料涂料,2.0,34,34
16,通信设备,1.68,135,135
17,轻工机械,1.66,7,7
18,文教休闲,1.57,52,52
19,综合类,1.41,19,19
20,纺织机械,1.39,11,11
21,装修装饰,1.27,26,26
22,空运,1.15,8,8
23,纺织,1.13,42,42
24,广告包装,1.12,52,52
25,互联网,1.1,80,80
26,旅游服务,0.96,8,8
27,钢加工,0.93,22,22
28,机械基件,0.79,132,132
29,汽车整车,0.73,22,22
30,其他商业,0.6,12,12
31,电气设备,0.5,340,340
32,专用机械,0.5,279,279
33,水泥,0.49,22,22
34,酒店餐饮,0.47,9,9
35,中成药,0.46,68,68
36,环境保护,0.44,121,121
37,啤酒,0.42,8,8
38,IT设备,0.42,78,78
39,仓储物流,0.28,45,45
40,水运,0.27,19,19
41,园区开发,0.24,14,14
42,航空,0.21,53,53
43,机床制造,0.04,24,24
44,全国地产,-0.01,26,26
45,汽车配件,-0.03,255,255
46,橡胶,-0.05,17,17
47,软件服务,-0.06,280,280
48,旅游景点,-0.1,18,18
49,工程机械,-0.15,38,38
50,林业,-0.16,4,4
51,电器仪表,-0.16,105,105
52,运输设备,-0.18,49,49
53,元器件,-0.21,301,301
54,摩托车,-0.24,12,12
55,塑料,-0.3,78,78
56,建筑工程,-0.46,129,129
57,铁路,-0.64,7,7
58,火力发电,-0.66,31,31
59,新型电力,-0.73,30,30
60,家用电器,-0.78,91,91
61,机场,-0.78,5,5
62,红黄酒,-0.99,9,9
63,乳制品,-1.06,21,21
64,日用化工,-1.1,20,20
65,批发业,-1.1,5,5
66,汽车服务,-1.26,10,10
67,其他建材,-1.27,30,30
68,服饰,-1.37,65,65
69,化工原料,-1.57,255,255
70,石油加工,-1.62,14,14
71,化学制药,-1.62,148,148
72,饲料,-1.72,23,23
73,医疗保健,-1.73,178,178
74,水力发电,-1.78,22,22
75,路桥,-1.81,19,19
76,电器连锁,-1.83,2,2
77,焦炭加工,-2.07,7,7
78,证券,-2.2,50,50
79,化纤,-2.24,34,34
80,商贸代理,-2.24,17,17
81,软饮料,-2.26,9,9
82,保险,-2.46,5,5
83,食品,-2.46,93,93
84,石油贸易,-2.51,4,4
85,超市连锁,-2.67,8,8
86,种植业,-2.83,19,19
87,矿物制品,-2.97,35,35
88,港口,-2.99,16,16
89,化工机械,-3.02,13,13
90,石油开采,-3.22,21,21
91,水务,-3.25,15,15
92,供气供热,-3.32,45,45
93,多元金融,-3.42,23,23
94,农用机械,-3.5,13,13
95,农药化肥,-3.76,58,58
96,生物制药,-3.79,80,80
97,百货,-3.81,35,35
98,医药商业,-3.92,36,36
99,电信运营,-3.94,5,5
100,农业综合,-4.22,43,43
101,商品城,-4.44,4,4
102,半导体,-4.95,193,193
103,特种钢,-5.63,10,10
104,普钢,-5.8,26,26
105,小金属,-6.34,64,64
106,铝,-8.44,30,30
107,公路,-8.54,3,3
108,铜,-11.77,18,18
109,铅锌,-20.4,14,14
110,黄金,-20.42,10,10
