排名,行业名称,平均涨幅,股票数量,count
1,石油开采,22.84,21,21
2,黄金,18.4,10,10
3,石油贸易,17.66,4,4
4,铅锌,17.31,14,14
5,小金属,10.93,64,64
6,火力发电,10.35,31,31
7,特种钢,9.98,10,10
8,种植业,9.77,19,19
9,铜,9.52,18,18
10,水运,9.39,19,19
11,焦炭加工,8.51,7,7
12,石油加工,8.44,14,14
13,水力发电,7.92,22,22
14,煤炭开采,7.92,26,26
15,农药化肥,7.59,58,58
16,普钢,7.33,26,26
17,船舶,7.25,11,11
18,航空,7.16,54,54
19,化工机械,6.51,13,13
20,供气供热,6.12,45,45
21,钢加工,5.5,22,22
22,新型电力,5.29,30,30
23,矿物制品,4.97,35,35
24,港口,4.89,16,16
25,环境保护,4.71,120,120
26,化工原料,4.02,255,255
27,铝,3.94,30,30
28,林业,3.74,4,4
29,商贸代理,3.44,17,17
30,元器件,2.94,301,301
31,公路,2.92,3,3
32,其他商业,2.65,12,12
33,玻璃,2.32,19,19
34,多元金融,2.31,23,23
35,农业综合,2.21,43,43
36,专用机械,2.15,282,282
37,橡胶,2.12,17,17
38,其他建材,2.09,30,30
39,建筑工程,2.04,129,129
40,批发业,2.03,5,5
41,机械基件,1.96,133,133
42,电气设备,1.86,340,340
43,电信运营,1.8,5,5
44,仓储物流,1.65,46,46
45,运输设备,1.63,49,49
46,通信设备,1.59,135,135
47,啤酒,1.46,8,8
48,水务,1.34,15,15
49,化纤,1.3,33,33
50,半导体,1.15,193,193
51,陶瓷,0.96,5,5
52,铁路,0.93,7,7
53,电器连锁,0.86,2,2
54,饲料,0.68,23,23
55,路桥,0.67,19,19
56,塑料,0.57,78,78
57,摩托车,0.33,12,12
58,装修装饰,0.27,26,26
59,机床制造,0.2,24,24
60,电器仪表,0.07,105,105
61,农用机械,-0.03,13,13
62,酒店餐饮,-0.05,9,9
63,工程机械,-0.05,38,38
64,染料涂料,-0.19,34,34
65,水泥,-0.23,23,23
66,房产服务,-0.3,13,13
67,纺织,-0.33,42,42
68,造纸,-0.33,34,34
69,综合类,-0.41,18,18
70,IT设备,-0.46,77,77
71,服饰,-0.55,64,64
72,中成药,-0.71,68,68
73,银行,-0.85,42,42
74,渔业,-0.98,7,7
75,医疗保健,-1.01,181,181
76,汽车配件,-1.14,256,256
77,食品,-1.17,93,93
78,区域地产,-1.21,44,44
79,家居用品,-1.27,71,71
80,公共交通,-1.4,7,7
81,纺织机械,-1.42,11,11
82,全国地产,-1.59,26,26
83,证券,-1.71,49,49
84,轻工机械,-1.74,7,7
85,乳制品,-1.8,21,21
86,家用电器,-1.98,91,91
87,汽车整车,-2.1,22,22
88,汽车服务,-2.1,10,10
89,化学制药,-2.1,148,148
90,医药商业,-2.25,37,37
91,软饮料,-2.3,9,9
92,文教休闲,-2.32,52,52
93,生物制药,-2.98,80,80
94,软件服务,-3.03,279,279
95,机场,-3.05,5,5
96,园区开发,-3.08,14,14
97,商品城,-3.32,4,4
98,旅游景点,-3.39,18,18
99,百货,-3.46,35,35
100,出版业,-3.52,29,29
101,日用化工,-3.67,20,20
102,红黄酒,-3.95,9,9
103,白酒,-5.06,20,20
104,超市连锁,-5.15,8,8
105,广告包装,-5.74,54,54
106,空运,-5.86,8,8
107,旅游服务,-6.12,8,8
108,保险,-6.42,5,5
109,互联网,-7.49,80,80
110,影视音像,-12.39,35,35
