排名,行业名称,平均涨幅,股票数量,count
1,黄金,52.76,9,9
2,铅锌,22.36,14,14
3,石油开采,19.25,20,20
4,石油贸易,13.72,4,4
5,种植业,13.1,19,19
6,铜,11.62,18,18
7,批发业,11.13,5,5
8,玻璃,11.09,18,18
9,农药化肥,10.37,57,57
10,染料涂料,9.25,34,34
11,铝,9.01,30,30
12,焦炭加工,8.75,7,7
13,半导体,8.22,188,188
14,小金属,6.52,64,64
15,其他建材,5.42,29,29
16,煤炭开采,5.38,26,26
17,红黄酒,5.24,9,9
18,石油加工,4.95,14,14
19,化纤,4.62,34,34
20,全国地产,4.57,26,26
21,化工原料,4.39,256,256
22,普钢,4.38,25,25
23,矿物制品,4.09,34,34
24,供气供热,3.95,44,44
25,港口,3.51,16,16
26,橡胶,3.3,17,17
27,水运,3.14,19,19
28,商贸代理,3.05,16,16
29,家居用品,2.84,71,71
30,农用机械,2.82,13,13
31,环境保护,2.62,121,121
32,特种钢,2.6,10,10
33,钢加工,2.6,23,23
34,纺织,2.54,41,41
35,新型电力,2.42,30,30
36,纺织机械,2.34,11,11
37,塑料,2.31,77,77
38,饲料,2.15,23,23
39,区域地产,2.1,43,43
40,农业综合,2.05,43,43
41,旅游景点,2.04,18,18
42,专用机械,1.99,280,280
43,水力发电,1.98,22,22
44,造纸,1.95,33,33
45,路桥,1.79,19,19
46,综合类,1.69,19,19
47,房产服务,1.6,13,13
48,啤酒,1.59,8,8
49,水泥,1.57,22,22
50,渔业,1.56,7,7
51,火力发电,1.5,31,31
52,水务,1.41,15,15
53,服饰,1.35,65,65
54,软饮料,1.29,9,9
55,机场,1.23,5,5
56,食品,1.07,93,93
57,酒店餐饮,1.04,9,9
58,公共交通,1.03,7,7
59,运输设备,0.88,49,49
60,机械基件,0.65,133,133
61,装修装饰,0.49,26,26
62,仓储物流,0.3,45,45
63,建筑工程,0.18,128,128
64,白酒,0.01,20,20
65,元器件,-0.04,300,300
66,电气设备,-0.13,338,338
67,汽车配件,-0.27,255,255
68,陶瓷,-0.57,5,5
69,乳制品,-0.59,21,21
70,旅游服务,-0.61,8,8
71,保险,-0.62,5,5
72,铁路,-0.78,7,7
73,银行,-0.84,42,42
74,日用化工,-0.95,20,20
75,工程机械,-1.07,38,38
76,汽车整车,-1.27,22,22
77,汽车服务,-1.34,10,10
78,电器仪表,-1.57,105,105
79,中成药,-1.66,68,68
80,化工机械,-1.78,13,13
81,家用电器,-1.91,91,91
82,广告包装,-2.03,52,52
83,机床制造,-2.56,24,24
84,园区开发,-2.88,14,14
85,百货,-3.1,35,35
86,轻工机械,-3.12,7,7
87,证券,-3.21,50,50
88,空运,-3.26,8,8
89,航空,-3.35,53,53
90,出版业,-3.4,29,29
91,影视音像,-3.46,35,35
92,多元金融,-3.63,23,23
93,化学制药,-3.89,148,148
94,摩托车,-3.92,12,12
95,文教休闲,-4.12,52,52
96,通信设备,-4.45,135,135
97,公路,-4.61,3,3
98,船舶,-4.99,11,11
99,商品城,-5.3,4,4
100,医疗保健,-5.52,177,177
101,电器连锁,-5.66,2,2
102,互联网,-5.91,80,80
103,生物制药,-6.05,80,80
104,林业,-6.38,4,4
105,医药商业,-6.51,36,36
106,IT设备,-6.91,78,78
107,电信运营,-7.4,5,5
108,其他商业,-7.51,12,12
109,超市连锁,-7.96,8,8
110,软件服务,-9.84,280,280
