ts_code,symbol,industry,price_end,price_start,change_pct
603269.SH,603269,机械基件,58.151632,41.502551999999994,40.12
003035.SZ,003035,新型电力,8.804939000000001,6.2877979999999996,40.03
600744.SH,600744,火力发电,37.28248,26.689,39.69
300317.SZ,300317,电气设备,15.79957,11.317029999999999,39.61
605060.SH,605060,机械基件,66.85217,47.98233999999999,39.33
300301.SZ,300301,半导体,17.60752,12.64844,39.21
301281.SZ,301281,化学制药,62.990664,45.279036,39.12
000962.SZ,000962,小金属,182.63688,131.35728,39.04
688191.SH,688191,软件服务,79.739052,57.409580000000005,38.9
002353.SZ,002353,化工机械,1068.8615,770.01655,38.81
000039.SZ,000039,运输设备,696.85896,502.362504,38.72
600487.SH,600487,通信设备,533.059324,385.34806799999996,38.33
605117.SH,605117,电气设备,633.577318,458.87085899999994,38.07
300055.SZ,300055,石油加工,86.85785,62.941642,38.0
002283.SZ,002283,汽车配件,47.86958500000001,34.694900000000004,37.97
300991.SZ,300991,元器件,95.382417,69.25315800000001,37.73
300423.SZ,300423,电气设备,37.957260000000005,27.571450000000002,37.67
002756.SZ,002756,小金属,219.83051999999998,160.053725,37.35
688593.SH,688593,半导体,34.1496,24.868944,37.32
688312.SH,688312,专用机械,59.383896,43.33329,37.04
603067.SH,603067,化工原料,142.86975999999999,104.40012,36.85
688087.SH,688087,环境保护,62.55918,45.833736,36.49
002348.SZ,002348,文教休闲,56.51541,41.47668,36.26
603685.SH,603685,电气设备,53.922543,39.61353999999999,36.12
688519.SH,688519,元器件,113.743275,83.5876,36.08
300444.SZ,300444,电气设备,71.4472,52.50256,36.08
002531.SZ,002531,电气设备,88.56846900000001,65.326509,35.58
002448.SZ,002448,汽车配件,109.415772,80.76362400000001,35.48
000657.SZ,000657,小金属,379.567328,280.3688,35.38
002455.SZ,002455,化工原料,82.64462400000001,61.154471,35.14
301217.SZ,301217,元器件,43.946960000000004,32.521776,35.13
301638.SZ,301638,软件服务,28.38,21.01,35.08
600791.SH,600791,全国地产,60.71175,44.96349,35.02
301291.SZ,301291,电气设备,62.607124,46.386472,34.97
301075.SZ,301075,化学制药,86.3655,64.0145,34.92
000899.SZ,000899,火力发电,55.324428,41.007852,34.91
002323.SZ,002323,建筑工程,17.69052,13.11271,34.91
300788.SZ,300788,出版业,44.27297599999999,32.821937,34.89
603688.SH,603688,矿物制品,143.17104400000002,106.24953200000002,34.75
301203.SZ,301203,环境保护,54.814595999999995,40.682171999999994,34.74
002528.SZ,002528,IT设备,20.556359999999998,15.27228,34.6
300716.SZ,300716,塑料,22.9671,17.08083,34.46
001267.SZ,001267,建筑工程,40.687058,30.26353,34.44
002913.SZ,002913,元器件,120.36460799999999,89.548368,34.41
300179.SZ,300179,矿物制品,186.836,139.19282,34.23
002796.SZ,002796,通信设备,138.5566,103.33820000000001,34.08
002358.SZ,002358,电气设备,78.798366,58.798345,34.01
603191.SH,603191,电气设备,27.250894000000002,20.340919000000003,33.97
301182.SZ,301182,元器件,51.368669999999995,38.361239999999995,33.91
301045.SZ,301045,元器件,49.577859999999994,37.05229,33.81
300437.SZ,300437,化工原料,58.874559999999995,44.1266,33.42
002897.SZ,002897,元器件,115.738,86.8035,33.33
600498.SH,600498,通信设备,199.65439199999997,149.85432,33.23
300499.SZ,300499,专用机械,156.87,117.86,33.1
601179.SH,601179,电气设备,22.743119999999998,17.086799999999997,33.1
600149.SH,600149,综合类,20.59857,15.48504,33.02
603897.SH,603897,电气设备,47.203714000000005,35.495436,32.99
300903.SZ,300903,元器件,67.91120000000001,51.0782,32.96
300880.SZ,300880,电器仪表,39.43545,29.689818000000002,32.82
603778.SH,603778,电气设备,108.01543,81.37457,32.74
301317.SZ,301317,机械基件,58.525872,44.11419,32.67
603301.SH,603301,医疗保健,217.103906,163.906418,32.46
300215.SZ,300215,电气设备,201.29877599999998,152.104974,32.34
002546.SZ,002546,电气设备,128.13636100000002,96.861639,32.29
600550.SH,600550,电气设备,142.86956,108.0494,32.23
301226.SZ,301226,电气设备,67.18247199999999,50.809279,32.22
002986.SZ,002986,化工原料,49.222944,37.244172,32.16
301265.SZ,301265,环境保护,20.20194,15.294297,32.09
600893.SH,600893,航空,205.14265799999998,155.349123,32.05
603588.SH,603588,环境保护,94.46061999999999,71.550395,32.02
688176.SH,688176,化学制药,16.78,12.72,31.92
301312.SZ,301312,专用机械,273.0928,207.00735999999998,31.92
688655.SH,688655,元器件,26.5959,20.176199999999998,31.82
603021.SH,603021,家居用品,19.1347,14.52425,31.74
603308.SH,603308,机械基件,100.67667000000002,76.43694,31.71
600188.SH,600188,煤炭开采,186.68052800000004,141.75326400000003,31.69
000811.SZ,000811,工程机械,447.85724200000004,340.659624,31.47
