排名,行业名称,平均涨幅,股票数量,count
1,影视音像,9.66,35,35
2,焦炭加工,7.66,7,7
3,玻璃,7.39,18,18
4,白酒,6.79,20,20
5,染料涂料,6.76,34,34
6,石油开采,4.67,21,21
7,空运,4.41,8,8
8,银行,4.02,42,42
9,房产服务,4.02,13,13
10,渔业,3.8,7,7
11,保险,3.55,5,5
12,批发业,3.2,5,5
13,全国地产,3.11,26,26
14,区域地产,3.05,44,44
15,通信设备,3.05,135,135
16,家居用品,2.83,71,71
17,石油贸易,2.78,4,4
18,陶瓷,2.77,5,5
19,酒店餐饮,2.57,9,9
20,出版业,2.39,29,29
21,服饰,2.36,64,64
22,旅游服务,2.31,8,8
23,林业,2.29,4,4
24,种植业,2.16,19,19
25,船舶,2.01,11,11
26,煤炭开采,1.93,26,26
27,装修装饰,1.9,26,26
28,新型电力,1.86,30,30
29,互联网,1.86,80,80
30,纺织,1.85,42,42
31,机场,1.45,5,5
32,旅游景点,1.36,18,18
33,水运,1.33,19,19
34,红黄酒,1.25,9,9
35,超市连锁,1.2,8,8
36,钢加工,1.17,23,23
37,路桥,1.14,19,19
38,广告包装,1.07,52,52
39,文教休闲,1.04,52,52
40,乳制品,1.02,21,21
41,造纸,0.92,33,33
42,日用化工,0.8,20,20
43,铁路,0.74,7,7
44,其他建材,0.72,30,30
45,仓储物流,0.62,45,45
46,汽车整车,0.58,22,22
47,矿物制品,0.56,35,35
48,其他商业,0.49,12,12
49,电器连锁,0.42,2,2
50,水泥,0.4,22,22
51,百货,0.28,35,35
52,园区开发,0.28,14,14
53,公共交通,0.23,7,7
54,软饮料,0.16,9,9
55,环境保护,0.11,121,121
56,电气设备,0.09,340,340
57,运输设备,0.07,49,49
58,专用机械,0.01,279,279
59,塑料,-0.08,78,78
60,啤酒,-0.09,8,8
61,工程机械,-0.11,38,38
62,航空,-0.12,53,53
63,港口,-0.21,16,16
64,商贸代理,-0.38,17,17
65,元器件,-0.39,301,301
66,机械基件,-0.47,132,132
67,化纤,-0.53,34,34
68,食品,-0.57,93,93
69,建筑工程,-0.68,129,129
70,综合类,-0.73,19,19
71,电器仪表,-0.81,105,105
72,纺织机械,-0.82,11,11
73,轻工机械,-0.92,7,7
74,证券,-0.95,50,50
75,饲料,-0.95,23,23
76,中成药,-1.05,68,68
77,石油加工,-1.18,13,13
78,化工原料,-1.48,255,255
79,化工机械,-1.58,13,13
80,农药化肥,-1.59,57,57
81,水力发电,-1.6,22,22
82,半导体,-1.6,192,192
83,家用电器,-1.62,91,91
84,IT设备,-1.67,78,78
85,汽车配件,-1.74,255,255
86,电信运营,-1.78,5,5
87,汽车服务,-1.99,10,10
88,火力发电,-2.02,31,31
89,软件服务,-2.13,278,278
90,供气供热,-2.17,45,45
91,橡胶,-2.19,17,17
92,多元金融,-2.45,23,23
93,水务,-2.72,15,15
94,摩托车,-2.74,12,12
95,化学制药,-2.8,148,148
96,医疗保健,-3.07,178,178
97,机床制造,-3.38,24,24
98,商品城,-3.48,4,4
99,农用机械,-3.64,13,13
100,铝,-3.76,30,30
101,黄金,-3.82,10,10
102,特种钢,-3.97,10,10
103,普钢,-4.14,25,25
104,医药商业,-4.63,37,37
105,农业综合,-4.74,43,43
106,生物制药,-5.35,80,80
107,小金属,-5.53,64,64
108,公路,-5.76,3,3
109,铜,-7.43,18,18
110,铅锌,-14.36,14,14
