ts_code,symbol,industry,price_end,price_start,change_pct
000638.SZ,000638,农业综合,22.365199999999998,8.398,166.32
688066.SH,688066,软件服务,68.4288,33.25696,105.76
300212.SZ,300212,软件服务,183.33344000000002,106.71648,71.79
002788.SZ,002788,医药商业,92.866576,55.76079599999999,66.54
300561.SZ,300561,软件服务,133.390024,81.30556,64.06
301079.SZ,301079,机械基件,92.086806,56.546603,62.85
600696.SH,600696,白酒,10.5728,6.5088799999999996,62.44
600355.SH,600355,专用机械,13.3837,8.43755,58.62
300111.SZ,300111,化学制药,16.35876,10.434600000000001,56.77
002151.SZ,002151,通信设备,391.9002,258.39637999999997,51.67
301306.SZ,301306,航空,160.4894,106.7252,50.38
688523.SH,688523,航空,91.75836,61.46879999999999,49.28
300455.SZ,300455,IT设备,150.70382,101.208326,48.9
600783.SH,600783,专用机械,234.21522000000002,157.711448,48.51
601698.SH,601698,电信运营,54.413412,37.144122,46.49
600855.SH,600855,专用机械,48.28777,33.024300000000004,46.22
600151.SH,600151,汽车配件,108.68551,74.44409,46.0
688256.SH,688256,半导体,1509.99,1036.99,45.61
300071.SZ,300071,广告包装,99.3909,68.44950000000001,45.2
603778.SH,603778,电气设备,147.91359,101.95494999999998,45.08
603516.SH,603516,IT设备,512.00745,353.274627,44.93
300123.SZ,300123,半导体,60.41736,41.73408,44.77
600343.SH,600343,机械基件,151.9744,105.15648,44.52
301213.SZ,301213,软件服务,108.83610600000002,75.392415,44.36
003009.SZ,003009,航空,99.52908,69.08548400000001,44.07
688115.SH,688115,电器仪表,70.88803200000001,49.25922200000001,43.91
688418.SH,688418,通信设备,64.4568,44.83864,43.75
600501.SH,600501,专用机械,183.434984,127.985644,43.32
688682.SH,688682,软件服务,196.550501,137.413654,43.04
300337.SZ,300337,铝,94.843352,66.426204,42.78
600337.SH,600337,家居用品,52.210026,36.854136,41.67
002394.SZ,002394,纺织,104.23740899999999,73.59777,41.63
603131.SH,603131,专用机械,99.91566400000002,70.99424,40.74
