排名,行业名称,平均涨幅,股票数量,count
1,铅锌,16.23,14,14
2,小金属,14.86,64,64
3,船舶,12.29,11,11
4,玻璃,11.67,19,19
5,火力发电,11.46,31,31
6,特种钢,10.11,10,10
7,煤炭开采,9.65,26,26
8,石油开采,9.27,21,21
9,普钢,8.58,25,25
10,铜,8.43,18,18
11,矿物制品,8.25,35,35
12,农药化肥,8.13,58,58
13,钢加工,7.02,22,22
14,水运,6.95,19,19
15,水力发电,6.64,22,22
16,环境保护,6.57,120,120
17,新型电力,5.46,30,30
18,元器件,5.4,301,301
19,黄金,5.22,10,10
20,石油贸易,5.13,4,4
21,纺织机械,4.96,11,11
22,半导体,4.92,193,193
23,化工原料,4.82,255,255
24,机械基件,4.53,133,133
25,化工机械,4.45,13,13
26,商贸代理,4.21,17,17
27,橡胶,4.03,17,17
28,机床制造,3.98,24,24
29,铝,3.86,30,30
30,种植业,3.74,19,19
31,供气供热,3.68,45,45
32,电气设备,3.68,340,340
33,焦炭加工,3.55,7,7
34,航空,3.5,53,53
35,建筑工程,3.48,129,129
36,林业,3.35,4,4
37,港口,3.26,16,16
38,专用机械,3.25,280,280
39,化纤,3.05,33,33
40,运输设备,2.81,49,49
41,陶瓷,2.77,5,5
42,IT设备,2.62,78,78
43,摩托车,2.57,12,12
44,通信设备,2.52,135,135
45,塑料,2.33,78,78
46,石油加工,2.15,14,14
47,电器仪表,2.12,105,105
48,造纸,2.1,33,33
49,软件服务,2.09,278,278
50,农业综合,2.01,43,43
51,仓储物流,2.0,46,46
52,其他商业,1.99,12,12
53,多元金融,1.88,23,23
54,工程机械,1.73,38,38
55,水务,1.66,15,15
56,综合类,1.66,18,18
57,其他建材,1.6,30,30
58,轻工机械,1.53,7,7
59,汽车配件,1.34,255,255
60,电器连锁,1.3,2,2
61,农用机械,1.25,13,13
62,公共交通,1.17,7,7
63,装修装饰,0.97,26,26
64,房产服务,0.95,13,13
65,饲料,0.85,23,23
66,啤酒,0.84,8,8
67,纺织,0.62,42,42
68,汽车服务,0.57,10,10
69,染料涂料,0.43,34,34
70,文教休闲,0.34,52,52
71,家居用品,0.29,71,71
72,区域地产,0.11,44,44
73,铁路,0.06,7,7
74,中成药,0.04,68,68
75,水泥,0.03,23,23
76,医疗保健,0.02,179,179
77,家用电器,-0.07,91,91
78,批发业,-0.34,5,5
79,路桥,-0.39,19,19
80,化学制药,-0.46,148,148
81,出版业,-0.51,28,28
82,电信运营,-0.72,5,5
83,生物制药,-0.9,80,80
84,汽车整车,-0.99,22,22
85,渔业,-1.01,7,7
86,服饰,-1.12,63,63
87,园区开发,-1.13,14,14
88,证券,-1.52,50,50
89,医药商业,-1.61,37,37
90,全国地产,-1.62,26,26
91,食品,-1.81,93,93
92,商品城,-1.82,4,4
93,酒店餐饮,-1.95,9,9
94,广告包装,-2.22,54,54
95,乳制品,-2.5,21,21
96,银行,-2.51,42,42
97,机场,-2.57,5,5
98,公路,-3.18,3,3
99,日用化工,-3.36,20,20
100,互联网,-3.37,80,80
101,软饮料,-3.98,9,9
102,红黄酒,-4.49,9,9
103,旅游景点,-4.85,18,18
104,百货,-4.9,35,35
105,旅游服务,-4.99,8,8
106,白酒,-5.67,20,20
107,超市连锁,-6.35,8,8
108,空运,-6.92,8,8
109,保险,-8.13,5,5
110,影视音像,-9.13,35,35
