排名,行业名称,平均涨幅,股票数量,count
1,石油开采,15.12,21,21
2,玻璃,12.74,18,18
3,黄金,10.43,9,9
4,焦炭加工,9.37,7,7
5,批发业,8.96,5,5
6,石油贸易,7.67,4,4
7,影视音像,6.1,35,35
8,白酒,5.85,20,20
9,其他建材,5.33,29,29
10,船舶,4.41,11,11
11,林业,3.8,4,4
12,染料涂料,3.76,33,33
13,全国地产,3.71,26,26
14,煤炭开采,3.54,26,26
15,服饰,3.39,65,65
16,酒店餐饮,3.2,9,9
17,红黄酒,2.74,9,9
18,家居用品,2.66,71,71
19,银行,2.57,42,42
20,种植业,2.53,19,19
21,铅锌,2.43,14,14
22,区域地产,2.29,44,44
23,水泥,2.17,23,23
24,超市连锁,1.99,8,8
25,航空,1.97,53,53
26,钢加工,1.9,23,23
27,旅游景点,1.86,18,18
28,出版业,1.78,29,29
29,综合类,1.74,19,19
30,港口,1.73,16,16
31,陶瓷,1.71,5,5
32,房产服务,1.67,13,13
33,纺织,1.62,42,42
34,机场,1.59,5,5
35,新型电力,1.52,30,30
36,通信设备,1.46,135,135
37,互联网,1.42,79,79
38,纺织机械,1.42,11,11
39,普钢,1.31,25,25
40,渔业,1.25,7,7
41,水运,1.2,19,19
42,公共交通,1.18,7,7
43,铜,1.03,18,18
44,装修装饰,0.95,26,26
45,专用机械,0.89,279,279
46,造纸,0.88,33,33
47,日用化工,0.82,20,20
48,环境保护,0.82,121,121
49,乳制品,0.81,21,21
50,路桥,0.81,19,19
51,矿物制品,0.61,34,34
52,广告包装,0.61,53,53
53,空运,0.32,8,8
54,啤酒,0.03,8,8
55,园区开发,0.01,14,14
56,仓储物流,-0.14,45,45
57,文教休闲,-0.19,52,52
58,化工机械,-0.22,13,13
59,农药化肥,-0.29,57,57
60,供气供热,-0.29,45,45
61,铝,-0.29,30,30
62,商贸代理,-0.32,17,17
63,工程机械,-0.34,38,38
64,医药商业,-0.37,37,37
65,保险,-0.43,5,5
66,中成药,-0.43,68,68
67,铁路,-0.45,7,7
68,百货,-0.45,35,35
69,小金属,-0.48,64,64
70,塑料,-0.51,78,78
71,旅游服务,-0.59,8,8
72,证券,-0.64,50,50
73,食品,-0.64,93,93
74,建筑工程,-0.66,129,129
75,运输设备,-0.8,49,49
76,软饮料,-0.81,9,9
77,元器件,-1.17,301,301
78,医疗保健,-1.23,177,177
79,石油加工,-1.23,14,14
80,汽车整车,-1.3,22,22
81,机械基件,-1.39,133,133
82,饲料,-1.52,23,23
83,特种钢,-1.59,10,10
84,电气设备,-1.68,339,339
85,橡胶,-1.69,17,17
86,化学制药,-1.84,148,148
87,其他商业,-1.94,12,12
88,多元金融,-1.98,23,23
89,农业综合,-2.11,43,43
90,水力发电,-2.12,22,22
91,化工原料,-2.17,256,256
92,电器仪表,-2.4,105,105
93,化纤,-2.4,34,34
94,家用电器,-2.44,91,91
95,汽车配件,-2.55,258,258
96,半导体,-2.6,191,191
97,软件服务,-2.85,280,280
98,生物制药,-2.97,80,80
99,汽车服务,-2.99,10,10
100,摩托车,-3.05,12,12
101,农用机械,-3.12,13,13
102,IT设备,-3.21,78,78
103,电信运营,-3.26,5,5
104,商品城,-3.36,4,4
105,轻工机械,-3.49,7,7
106,火力发电,-3.69,31,31
107,水务,-3.73,15,15
108,电器连锁,-3.86,2,2
109,机床制造,-4.79,24,24
110,公路,-6.33,3,3
