排名,行业名称,平均涨幅,股票数量
1,电气设备,32.0,71
2,元器件,29.02,36
3,专用机械,35.79,27
4,环境保护,36.29,17
5,机械基件,33.27,17
6,软件服务,32.64,16
7,化工原料,37.24,15
8,汽车配件,28.99,15
9,小金属,37.38,12
10,半导体,38.17,10
11,通信设备,35.42,10
12,建筑工程,28.71,9
