排名,行业名称,平均涨幅,股票数量,count
1,玻璃,13.86,18,18
2,影视音像,13.82,35,35
3,焦炭加工,10.15,7,7
4,石油开采,8.03,21,21
5,煤炭开采,7.18,26,26
6,出版业,7.01,29,29
7,染料涂料,6.86,34,34
8,船舶,6.63,11,11
9,白酒,6.47,20,20
10,房产服务,5.47,13,13
11,银行,4.79,42,42
12,区域地产,4.49,44,44
13,渔业,4.21,7,7
14,水运,3.26,19,19
15,家居用品,3.08,71,71
16,纺织,2.94,42,42
17,造纸,2.93,33,33
18,石油贸易,2.8,4,4
19,全国地产,2.79,26,26
20,旅游服务,2.6,8,8
21,种植业,2.57,19,19
22,水泥,2.45,22,22
23,陶瓷,2.31,5,5
24,空运,2.27,8,8
25,铁路,2.24,7,7
26,公共交通,2.23,7,7
27,服饰,1.9,65,65
28,酒店餐饮,1.78,9,9
29,路桥,1.59,19,19
30,啤酒,1.49,8,8
31,互联网,1.45,80,80
32,通信设备,1.4,135,135
33,园区开发,1.34,14,14
34,钢加工,1.29,23,23
35,其他商业,1.29,12,12
36,石油加工,1.27,14,14
37,旅游景点,1.24,17,17
38,仓储物流,1.23,45,45
39,红黄酒,1.16,9,9
40,化纤,1.14,34,34
41,乳制品,1.07,21,21
42,文教休闲,0.94,52,52
43,机场,0.89,5,5
44,纺织机械,0.8,11,11
45,广告包装,0.66,52,52
46,港口,0.62,16,16
47,日用化工,0.51,20,20
48,中成药,0.47,68,68
49,饲料,0.42,23,23
50,其他建材,0.38,30,30
51,汽车整车,0.34,22,22
52,环境保护,0.34,121,121
53,综合类,0.32,18,18
54,新型电力,0.32,30,30
55,装修装饰,0.27,26,26
56,农药化肥,0.25,57,57
57,保险,0.24,5,5
58,火力发电,0.01,31,31
59,化工原料,-0.07,255,255
60,轻工机械,-0.12,7,7
61,商贸代理,-0.14,17,17
62,工程机械,-0.34,38,38
63,食品,-0.36,93,93
64,塑料,-0.36,78,78
65,证券,-0.41,50,50
66,电气设备,-0.52,340,340
67,建筑工程,-0.53,129,129
68,普钢,-0.54,26,26
69,电器连锁,-0.56,2,2
70,超市连锁,-0.66,8,8
71,运输设备,-0.71,49,49
72,水力发电,-0.73,22,22
73,林业,-0.81,4,4
74,橡胶,-0.82,17,17
75,汽车服务,-0.84,10,10
76,批发业,-0.87,5,5
77,矿物制品,-0.98,35,35
78,家用电器,-1.07,91,91
79,软饮料,-1.07,9,9
80,机械基件,-1.12,131,131
81,专用机械,-1.18,279,279
82,软件服务,-1.38,279,279
83,百货,-1.39,35,35
84,化学制药,-1.4,148,148
85,供气供热,-1.52,45,45
86,铝,-1.57,30,30
87,电器仪表,-1.65,105,105
88,化工机械,-1.68,13,13
89,摩托车,-1.71,12,12
90,IT设备,-1.81,78,78
91,元器件,-1.81,301,301
92,水务,-1.91,15,15
93,特种钢,-2.02,10,10
94,汽车配件,-2.21,255,255
95,农业综合,-2.29,43,43
96,商品城,-2.35,4,4
97,多元金融,-2.42,23,23
98,电信运营,-2.64,5,5
99,小金属,-2.7,64,64
100,医疗保健,-2.99,178,178
101,农用机械,-3.08,13,13
102,机床制造,-3.78,24,24
103,医药商业,-3.88,37,37
104,航空,-4.48,53,53
105,生物制药,-4.61,80,80
106,半导体,-5.84,192,192
107,铜,-6.38,18,18
108,公路,-6.41,3,3
109,黄金,-8.57,10,10
110,铅锌,-12.0,14,14
