排名,行业名称,平均涨幅,股票数量,count
1,石油开采,42.45,21,21
2,石油贸易,23.0,4,4
3,种植业,16.53,19,19
4,黄金,13.62,10,10
5,水运,13.43,19,19
6,火力发电,10.9,31,31
7,焦炭加工,10.52,7,7
8,水力发电,9.69,22,22
9,铅锌,9.6,14,14
10,供气供热,9.49,45,45
11,煤炭开采,9.37,26,26
12,特种钢,8.19,10,10
13,石油加工,8.07,14,14
14,新型电力,7.46,30,30
15,化工机械,7.38,13,13
16,小金属,7.24,64,64
17,农药化肥,6.36,58,58
18,普钢,5.38,26,26
19,港口,4.5,16,16
20,铜,3.5,18,18
21,铝,3.2,30,30
22,林业,3.03,4,4
23,矿物制品,2.66,35,35
24,钢加工,2.57,22,22
25,船舶,2.51,11,11
26,环境保护,2.16,121,121
27,公路,1.72,3,3
28,批发业,1.63,5,5
29,电气设备,1.37,340,340
30,铁路,1.16,7,7
31,农业综合,1.16,43,43
32,水务,0.7,15,15
33,啤酒,0.7,8,8
34,化工原料,0.64,255,255
35,饲料,0.23,23,23
36,陶瓷,0.18,5,5
37,多元金融,-0.0,23,23
38,其他建材,-0.33,30,30
39,电信运营,-0.34,5,5
40,玻璃,-0.5,19,19
41,路桥,-0.51,19,19
42,仓储物流,-0.55,46,46
43,建筑工程,-0.57,129,129
44,航空,-0.58,54,54
45,商贸代理,-0.62,17,17
46,银行,-1.03,42,42
47,电器连锁,-1.16,2,2
48,橡胶,-1.34,17,17
49,机械基件,-1.84,133,133
50,元器件,-1.88,300,300
51,通信设备,-2.06,135,135
52,专用机械,-2.08,283,283
53,水泥,-2.13,23,23
54,运输设备,-2.35,49,49
55,其他商业,-2.47,12,12
56,酒店餐饮,-2.62,9,9
57,塑料,-2.62,78,78
58,化纤,-2.62,33,33
59,纺织,-2.72,42,42
60,综合类,-2.78,18,18
61,中成药,-2.95,68,68
62,纺织机械,-2.99,11,11
63,农用机械,-3.1,13,13
64,食品,-3.11,93,93
65,摩托车,-3.16,12,12
66,渔业,-3.2,7,7
67,乳制品,-3.53,21,21
68,装修装饰,-3.73,26,26
69,证券,-3.74,49,49
70,服饰,-3.77,64,64
71,区域地产,-4.01,44,44
72,工程机械,-4.01,38,38
73,电器仪表,-4.01,105,105
74,公共交通,-4.03,7,7
75,软饮料,-4.2,9,9
76,染料涂料,-4.24,34,34
77,医药商业,-4.4,37,37
78,房产服务,-4.43,13,13
79,家居用品,-4.55,71,71
80,造纸,-4.57,34,34
81,化学制药,-4.58,148,148
82,医疗保健,-4.75,181,181
83,全国地产,-4.88,26,26
84,机床制造,-5.05,24,24
85,家用电器,-5.16,91,91
86,旅游景点,-5.26,18,18
87,汽车整车,-5.35,22,22
88,机场,-5.36,5,5
89,半导体,-5.38,193,193
90,红黄酒,-5.38,9,9
91,汽车配件,-5.48,256,256
92,百货,-5.5,35,35
93,IT设备,-5.55,78,78
94,汽车服务,-5.73,10,10
95,文教休闲,-5.85,52,52
96,轻工机械,-5.98,7,7
97,商品城,-6.02,4,4
98,日用化工,-6.25,20,20
99,生物制药,-6.26,80,80
100,园区开发,-6.59,14,14
101,超市连锁,-6.76,8,8
102,旅游服务,-6.94,8,8
103,保险,-7.19,5,5
104,软件服务,-7.48,279,279
105,出版业,-7.49,29,29
106,白酒,-7.5,20,20
107,空运,-8.64,8,8
108,广告包装,-8.97,54,54
109,互联网,-11.46,80,80
110,影视音像,-16.07,35,35
