排名,行业名称,平均涨幅,股票数量,count
1,玻璃,18.19,19,19
2,铅锌,13.04,14,14
3,船舶,12.28,11,11
4,小金属,11.67,64,64
5,矿物制品,10.43,35,35
6,铜,8.98,18,18
7,石油开采,8.49,21,21
8,农药化肥,7.97,58,58
9,水运,7.56,19,19
10,煤炭开采,7.44,26,26
11,普钢,7.07,25,25
12,特种钢,6.55,10,10
13,半导体,6.42,193,193
14,元器件,6.05,301,301
15,化工原料,5.94,256,256
16,纺织机械,5.64,11,11
17,火力发电,5.37,31,31
18,钢加工,4.89,22,22
19,化纤,4.81,34,34
20,机械基件,4.75,133,133
21,环境保护,4.74,121,121
22,橡胶,4.57,17,17
23,石油加工,4.49,14,14
24,综合类,4.3,18,18
25,电气设备,4.27,340,340
26,化工机械,4.26,13,13
27,区域地产,4.18,44,44
28,铝,4.11,30,30
29,黄金,4.05,10,10
30,陶瓷,4.05,5,5
31,工程机械,4.01,38,38
32,通信设备,3.99,135,135
33,机床制造,3.84,24,24
34,造纸,3.79,33,33
35,专用机械,3.78,281,281
36,染料涂料,3.7,33,33
37,出版业,3.49,29,29
38,建筑工程,3.48,129,129
39,房产服务,3.35,13,13
40,IT设备,3.3,78,78
41,电器连锁,3.2,2,2
42,石油贸易,3.18,4,4
43,塑料,3.15,78,78
44,公共交通,3.11,7,7
45,航空,3.02,53,53
46,全国地产,3.0,26,26
47,装修装饰,3.0,26,26
48,商贸代理,2.97,17,17
49,电器仪表,2.97,105,105
50,新型电力,2.95,30,30
51,运输设备,2.92,49,49
52,农用机械,2.85,13,13
53,其他建材,2.77,30,30
54,种植业,2.74,19,19
55,水泥,2.68,23,23
56,焦炭加工,2.61,7,7
57,软件服务,2.59,278,278
58,渔业,2.58,7,7
59,家居用品,2.31,71,71
60,汽车配件,2.31,255,255
61,摩托车,2.23,12,12
62,文教休闲,2.14,52,52
63,园区开发,2.03,14,14
64,仓储物流,1.99,46,46
65,汽车服务,1.94,10,10
66,轻工机械,1.82,7,7
67,供气供热,1.76,45,45
68,家用电器,1.66,90,90
69,水力发电,1.56,22,22
70,港口,1.4,16,16
71,汽车整车,1.29,22,22
72,其他商业,1.27,12,12
73,水务,1.24,15,15
74,多元金融,1.23,23,23
75,农业综合,1.21,43,43
76,林业,0.92,4,4
77,广告包装,0.9,53,53
78,纺织,0.77,42,42
79,医疗保健,0.65,179,179
80,饲料,0.6,23,23
81,生物制药,0.54,80,80
82,中成药,0.46,68,68
83,铁路,0.36,7,7
84,化学制药,0.31,147,147
85,商品城,0.3,4,4
86,啤酒,0.15,8,8
87,互联网,-0.16,80,80
88,电信运营,-0.16,5,5
89,证券,-0.23,50,50
90,路桥,-0.6,19,19
91,医药商业,-0.68,37,37
92,批发业,-0.77,5,5
93,红黄酒,-1.2,9,9
94,服饰,-1.31,65,65
95,机场,-1.53,5,5
96,影视音像,-1.55,35,35
97,食品,-1.64,93,93
98,银行,-1.89,42,42
99,日用化工,-2.02,20,20
100,软饮料,-2.2,9,9
101,乳制品,-2.35,21,21
102,旅游服务,-3.26,8,8
103,酒店餐饮,-3.44,9,9
104,百货,-3.49,35,35
105,保险,-3.72,5,5
106,公路,-3.78,3,3
107,白酒,-4.11,20,20
108,旅游景点,-4.27,18,18
109,超市连锁,-5.05,8,8
110,空运,-5.16,8,8
