排名,行业名称,平均涨幅,股票数量,count
1,影视音像,19.9,35,35
2,出版业,9.88,29,29
3,焦炭加工,9.16,7,7
4,玻璃,7.38,18,18
5,白酒,6.65,20,20
6,渔业,6.62,7,7
7,染料涂料,6.54,34,34
8,船舶,6.25,11,11
9,石油开采,5.94,21,21
10,煤炭开采,5.68,26,26
11,房产服务,5.54,13,13
12,银行,4.44,42,42
13,旅游服务,4.23,8,8
14,空运,3.72,8,8
15,区域地产,3.71,44,44
16,酒店餐饮,3.66,9,9
17,家居用品,3.5,71,71
18,旅游景点,3.42,18,18
19,互联网,3.29,80,80
20,陶瓷,3.0,5,5
21,全国地产,2.9,26,26
22,公共交通,2.76,7,7
23,其他商业,2.66,12,12
24,服饰,2.65,65,65
25,水运,2.64,19,19
26,纺织,2.53,42,42
27,通信设备,2.49,135,135
28,水泥,2.44,22,22
29,石油贸易,2.43,4,4
30,种植业,2.31,19,19
31,文教休闲,2.14,52,52
32,广告包装,2.04,52,52
33,铁路,1.91,7,7
34,啤酒,1.83,8,8
35,乳制品,1.77,21,21
36,红黄酒,1.77,9,9
37,造纸,1.74,33,33
38,钢加工,1.55,23,23
39,路桥,1.43,19,19
40,保险,1.2,5,5
41,仓储物流,1.11,45,45
42,机场,1.04,5,5
43,装修装饰,0.96,26,26
44,园区开发,0.87,14,14
45,中成药,0.73,68,68
46,新型电力,0.72,30,30
47,日用化工,0.67,20,20
48,石油加工,0.58,14,14
49,电器连锁,0.53,2,2
50,综合类,0.53,18,18
51,超市连锁,0.45,8,8
52,林业,0.21,4,4
53,环境保护,0.19,121,121
54,其他建材,0.19,30,30
55,饲料,0.14,23,23
56,汽车整车,0.12,22,22
57,批发业,0.07,5,5
58,轻工机械,0.07,7,7
59,食品,0.01,93,93
60,电气设备,-0.08,340,340
61,纺织机械,-0.13,11,11
62,港口,-0.19,16,16
63,商贸代理,-0.27,17,17
64,工程机械,-0.32,38,38
65,证券,-0.37,50,50
66,百货,-0.39,35,35
67,汽车服务,-0.45,10,10
68,运输设备,-0.64,49,49
69,机械基件,-0.65,132,132
70,建筑工程,-0.67,129,129
71,化纤,-0.69,34,34
72,软饮料,-0.69,9,9
73,家用电器,-0.69,91,91
74,化工原料,-0.81,255,255
75,塑料,-0.88,78,78
76,专用机械,-0.91,279,279
77,化学制药,-0.95,148,148
78,火力发电,-0.99,31,31
79,化工机械,-1.07,13,13
80,水力发电,-1.07,22,22
81,农药化肥,-1.12,57,57
82,IT设备,-1.21,78,78
83,电器仪表,-1.36,105,105
84,矿物制品,-1.52,35,35
85,元器件,-1.53,301,301
86,软件服务,-1.61,278,278
87,供气供热,-1.61,45,45
88,汽车配件,-1.63,255,255
89,多元金融,-1.93,23,23
90,电信运营,-2.07,5,5
91,橡胶,-2.18,17,17
92,水务,-2.22,15,15
93,医疗保健,-2.39,178,178
94,普钢,-2.4,26,26
95,摩托车,-2.44,12,12
96,农业综合,-2.53,43,43
97,铝,-2.61,30,30
98,航空,-2.95,53,53
99,农用机械,-2.98,13,13
100,医药商业,-3.31,37,37
101,商品城,-3.35,4,4
102,特种钢,-3.44,10,10
103,机床制造,-3.52,24,24
104,生物制药,-4.02,80,80
105,公路,-4.74,3,3
106,半导体,-5.33,192,192
107,小金属,-5.33,64,64
108,铜,-7.5,18,18
109,黄金,-10.47,10,10
110,铅锌,-14.3,14,14
