排名,行业名称,平均涨幅,股票数量,count
1,石油开采,16.69,21,21
2,焦炭加工,10.97,7,7
3,玻璃,10.03,18,18
4,石油贸易,9.43,4,4
5,批发业,6.81,5,5
6,林业,6.26,4,4
7,影视音像,5.91,35,35
8,白酒,4.95,20,20
9,煤炭开采,4.28,26,26
10,染料涂料,3.82,33,33
11,其他建材,3.76,29,29
12,种植业,3.62,19,19
13,银行,3.54,42,42
14,服饰,3.31,65,65
15,新型电力,3.16,30,30
16,酒店餐饮,2.65,9,9
17,钢加工,2.11,23,23
18,造纸,1.81,33,33
19,船舶,1.74,11,11
20,家居用品,1.65,71,71
21,港口,1.49,16,16
22,纺织,1.48,42,42
23,全国地产,1.35,26,26
24,综合类,1.24,19,19
25,水泥,1.23,22,22
26,乳制品,1.2,21,21
27,水运,1.19,19,19
28,区域地产,1.17,44,44
29,渔业,1.1,7,7
30,黄金,1.06,9,9
31,通信设备,1.03,135,135
32,路桥,1.0,19,19
33,红黄酒,0.97,9,9
34,陶瓷,0.89,5,5
35,中成药,0.88,68,68
36,出版业,0.78,29,29
37,铁路,0.74,7,7
38,房产服务,0.7,13,13
39,商贸代理,0.59,17,17
40,环境保护,0.55,121,121
41,农药化肥,0.54,57,57
42,互联网,0.44,80,80
43,装修装饰,0.36,25,25
44,空运,0.33,8,8
45,保险,0.28,5,5
46,啤酒,0.18,8,8
47,专用机械,0.18,279,279
48,广告包装,0.11,53,53
49,机场,0.11,5,5
50,软饮料,0.09,9,9
51,供气供热,0.05,45,45
52,铝,0.01,30,30
53,旅游景点,-0.03,18,18
54,航空,-0.17,53,53
55,旅游服务,-0.22,8,8
56,园区开发,-0.27,14,14
57,塑料,-0.37,78,78
58,石油加工,-0.38,14,14
59,电气设备,-0.4,339,339
60,超市连锁,-0.5,8,8
61,水力发电,-0.51,22,22
62,仓储物流,-0.57,45,45
63,普钢,-0.62,25,25
64,汽车整车,-0.67,22,22
65,食品,-0.74,93,93
66,矿物制品,-0.75,35,35
67,医药商业,-0.76,37,37
68,日用化工,-0.83,20,20
69,证券,-0.87,50,50
70,化纤,-0.93,34,34
71,饲料,-0.93,23,23
72,运输设备,-1.01,49,49
73,百货,-1.28,35,35
74,文教休闲,-1.28,52,52
75,其他商业,-1.34,12,12
76,工程机械,-1.35,38,38
77,化工机械,-1.48,13,13
78,火力发电,-1.49,31,31
79,纺织机械,-1.53,11,11
80,化学制药,-1.53,148,148
81,公共交通,-1.55,7,7
82,建筑工程,-1.6,129,129
83,化工原料,-1.73,256,256
84,多元金融,-1.86,23,23
85,小金属,-1.9,64,64
86,农业综合,-1.95,43,43
87,橡胶,-2.01,17,17
88,电信运营,-2.13,5,5
89,机械基件,-2.17,133,133
90,医疗保健,-2.35,178,178
91,轻工机械,-2.39,7,7
92,铅锌,-2.45,14,14
93,铜,-2.68,18,18
94,电器仪表,-2.84,105,105
95,家用电器,-2.93,91,91
96,元器件,-2.99,301,301
97,汽车服务,-3.1,10,10
98,特种钢,-3.12,10,10
99,生物制药,-3.16,80,80
100,电器连锁,-3.4,2,2
101,水务,-3.67,15,15
102,软件服务,-3.89,278,278
103,摩托车,-3.92,12,12
104,汽车配件,-3.97,256,256
105,IT设备,-4.17,78,78
106,机床制造,-4.17,24,24
107,商品城,-4.38,4,4
108,农用机械,-4.5,13,13
109,半导体,-6.26,192,192
110,公路,-8.26,3,3
