排名,行业名称,平均涨幅,股票数量,count
1,黄金,21.79,9,9
2,石油开采,14.28,21,21
3,玻璃,12.49,18,18
4,石油贸易,9.44,4,4
5,铅锌,7.88,14,14
6,影视音像,6.1,35,35
7,铜,5.83,18,18
8,种植业,5.79,19,19
9,染料涂料,5.11,33,33
10,批发业,5.1,5,5
11,白酒,4.92,20,20
12,船舶,4.53,11,11
13,互联网,4.46,79,79
14,通信设备,3.99,135,135
15,矿物制品,3.32,34,34
16,其他建材,3.21,29,29
17,小金属,2.97,64,64
18,专用机械,2.63,279,279
19,出版业,2.07,29,29
20,服饰,1.9,65,65
21,新型电力,1.82,30,30
22,综合类,1.63,19,19
23,铝,1.59,30,30
24,钢加工,1.53,23,23
25,红黄酒,1.09,9,9
26,广告包装,0.83,53,53
27,航空,0.82,53,53
28,塑料,0.78,78,78
29,装修装饰,0.73,26,26
30,造纸,0.66,33,33
31,元器件,0.64,301,301
32,环境保护,0.63,121,121
33,农药化肥,0.6,57,57
34,化工机械,0.56,13,13
35,纺织机械,0.54,11,11
36,水运,0.53,19,19
37,纺织,0.52,42,42
38,陶瓷,0.52,5,5
39,全国地产,0.51,26,26
40,家居用品,0.46,71,71
41,焦炭加工,0.46,7,7
42,工程机械,0.45,38,38
43,普钢,0.34,25,25
44,港口,0.18,16,16
45,机械基件,0.11,134,134
46,水泥,-0.03,22,22
47,文教休闲,-0.05,52,52
48,电气设备,-0.15,339,339
49,橡胶,-0.16,17,17
50,半导体,-0.26,191,191
51,建筑工程,-0.28,129,129
52,运输设备,-0.43,49,49
53,林业,-0.44,4,4
54,路桥,-0.49,19,19
55,煤炭开采,-0.55,26,26
56,供气供热,-0.58,45,45
57,电器仪表,-0.59,105,105
58,渔业,-0.64,7,7
59,保险,-0.92,5,5
60,区域地产,-0.95,44,44
61,化工原料,-0.99,256,256
62,银行,-1.03,42,42
63,商贸代理,-1.07,17,17
64,房产服务,-1.09,13,13
65,机场,-1.09,5,5
66,仓储物流,-1.14,45,45
67,乳制品,-1.15,21,21
68,医药商业,-1.29,36,36
69,软件服务,-1.3,281,281
70,特种钢,-1.3,10,10
71,酒店餐饮,-1.32,9,9
72,公共交通,-1.32,7,7
73,石油加工,-1.36,14,14
74,农用机械,-1.41,13,13
75,化纤,-1.52,34,34
76,农业综合,-1.53,43,43
77,医疗保健,-1.56,177,177
78,水力发电,-1.59,22,22
79,旅游景点,-1.71,18,18
80,多元金融,-1.93,23,23
81,中成药,-1.94,68,68
82,园区开发,-2.21,14,14
83,啤酒,-2.24,8,8
84,饲料,-2.24,23,23
85,IT设备,-2.28,78,78
86,软饮料,-2.34,9,9
87,铁路,-2.42,7,7
88,日用化工,-2.42,20,20
89,证券,-2.43,50,50
90,食品,-2.45,93,93
91,电信运营,-2.5,5,5
92,汽车配件,-2.55,257,257
93,家用电器,-2.77,91,91
94,化学制药,-2.78,148,148
95,超市连锁,-2.88,8,8
96,水务,-2.9,15,15
97,汽车整车,-2.98,22,22
98,机床制造,-3.36,24,24
99,汽车服务,-3.37,10,10
100,生物制药,-3.53,80,80
101,火力发电,-3.7,31,31
102,轻工机械,-3.78,7,7
103,其他商业,-3.88,12,12
104,旅游服务,-4.15,8,8
105,电器连锁,-4.21,2,2
106,摩托车,-4.25,12,12
107,百货,-4.49,35,35
108,商品城,-5.15,4,4
109,空运,-5.99,8,8
110,公路,-8.53,3,3
