排名,行业名称,平均涨幅,股票数量,count
1,石油开采,41.54,21,21
2,石油贸易,28.25,4,4
3,水运,22.02,19,19
4,黄金,18.25,10,10
5,焦炭加工,18.01,7,7
6,石油加工,16.76,14,14
7,供气供热,14.3,45,45
8,种植业,11.65,19,19
9,煤炭开采,10.95,26,26
10,火力发电,10.46,31,31
11,铅锌,10.09,14,14
12,化工机械,9.48,13,13
13,港口,9.01,16,16
14,特种钢,8.73,10,10
15,水力发电,8.6,22,22
16,普钢,6.78,26,26
17,小金属,6.59,64,64
18,新型电力,5.85,30,30
19,农药化肥,5.57,58,58
20,公路,4.77,3,3
21,铜,4.55,18,18
22,矿物制品,3.59,35,35
23,铁路,3.53,7,7
24,钢加工,3.04,22,22
25,仓储物流,2.25,46,46
26,环境保护,2.05,120,120
27,铝,1.54,30,30
28,路桥,1.45,19,19
29,化工原料,1.38,255,255
30,水务,1.25,15,15
31,多元金融,1.14,23,23
32,农业综合,1.13,43,43
33,啤酒,1.12,8,8
34,批发业,1.11,5,5
35,林业,1.06,4,4
36,商贸代理,1.03,17,17
37,饲料,0.52,23,23
38,玻璃,0.3,19,19
39,银行,0.27,42,42
40,其他建材,0.13,30,30
41,电气设备,0.05,340,340
42,电器连锁,-0.14,2,2
43,电信运营,-0.22,5,5
44,陶瓷,-0.42,5,5
45,橡胶,-0.49,17,17
46,建筑工程,-0.63,129,129
47,水泥,-0.81,23,23
48,其他商业,-0.82,12,12
49,船舶,-0.83,11,11
50,专用机械,-1.24,283,283
51,运输设备,-1.31,49,49
52,化纤,-1.44,33,33
53,机械基件,-1.6,133,133
54,元器件,-1.62,300,300
55,酒店餐饮,-1.66,9,9
56,证券,-1.67,49,49
57,纺织,-1.71,42,42
58,塑料,-1.81,78,78
59,中成药,-1.91,68,68
60,通信设备,-1.96,135,135
61,农用机械,-2.06,13,13
62,食品,-2.09,93,93
63,乳制品,-2.4,21,21
64,综合类,-2.64,18,18
65,服饰,-2.65,64,64
66,摩托车,-2.7,12,12
67,航空,-2.72,54,54
68,软饮料,-3.12,9,9
69,房产服务,-3.2,13,13
70,区域地产,-3.24,44,44
71,医药商业,-3.25,37,37
72,装修装饰,-3.33,26,26
73,工程机械,-3.33,38,38
74,造纸,-3.4,34,34
75,纺织机械,-3.61,11,11
76,机场,-3.7,5,5
77,医疗保健,-3.73,181,181
78,家居用品,-3.76,71,71
79,化学制药,-3.93,148,148
80,染料涂料,-4.03,34,34
81,全国地产,-4.05,26,26
82,渔业,-4.2,7,7
83,家用电器,-4.26,91,91
84,保险,-4.32,5,5
85,百货,-4.36,35,35
86,电器仪表,-4.37,105,105
87,公共交通,-4.41,7,7
88,汽车整车,-4.44,22,22
89,汽车服务,-4.44,10,10
90,旅游景点,-4.51,18,18
91,白酒,-4.7,20,20
92,汽车配件,-4.73,256,256
93,机床制造,-4.78,24,24
94,红黄酒,-4.88,9,9
95,超市连锁,-4.9,8,8
96,IT设备,-4.97,78,78
97,日用化工,-5.16,20,20
98,半导体,-5.21,193,193
99,商品城,-5.22,4,4
100,文教休闲,-5.28,52,52
101,轻工机械,-5.31,7,7
102,生物制药,-5.46,80,80
103,出版业,-5.64,29,29
104,园区开发,-5.67,14,14
105,旅游服务,-7.11,8,8
106,软件服务,-7.13,279,279
107,空运,-7.32,8,8
108,广告包装,-8.31,54,54
109,互联网,-10.92,80,80
110,影视音像,-15.51,35,35
