排名,股票代码,股票名称,最新收盘价,20日前收盘价,20日涨幅%,交易所,申万二级行业
238,688186,广大特材,28.25,22.61,24.94,SH,特种钢
239,300483,首华燃气,20.69,16.56,24.94,SZ,石油开采
240,2536,飞龙股份,36.47,29.2,24.9,SZ,
241,688629,华丰科技,117.36,94.0,24.85,SH,元器件
242,510,新金路,20.17,16.17,24.74,SZ,
243,1696,宗申动力,25.54,20.48,24.71,SZ,
244,2652,扬子新材,4.91,3.94,24.62,SZ,
245,601567,三星医疗,29.41,23.63,24.46,SH,电气设备
246,826,启迪环境,2.51,2.02,24.26,SZ,
247,688028,沃尔德,114.0,91.8,24.18,SH,机械基件
248,300875,捷强装备,51.23,41.28,24.1,SZ,专用机械
249,688275,万润新能,95.5,76.96,24.09,SH,电气设备
250,2300,太阳电缆,10.52,8.48,24.06,SZ,
251,600152,维科技术,9.39,7.57,24.04,SH,电气设备
252,2357,富临运业,16.17,13.04,24.0,SZ,
253,920158,长江能科,20.59,16.62,23.89,SZ,
254,2270,华明装备,36.89,29.78,23.88,SZ,
255,603867,新化股份,35.67,28.81,23.81,SH,化工原料
256,603393,新天然气,37.88,30.62,23.71,SH,供气供热
257,2533,金杯电工,16.35,13.22,23.68,SZ,
258,525,红太阳,7.16,5.79,23.66,SZ,
259,300868,杰美特,40.0,32.36,23.61,SZ,元器件
260,600367,红星发展,23.82,19.27,23.61,SH,化工原料
261,791,甘肃能源,8.5,6.88,23.55,SZ,
262,603790,雅运股份,26.18,21.2,23.49,SH,染料涂料
263,301158,德石股份,29.71,24.07,23.43,SZ,专用机械
264,2384,东山精密,95.45,77.36,23.38,SZ,
265,603861,白云电器,20.5,16.62,23.35,SH,电气设备
266,600176,中国巨石,26.35,21.37,23.3,SH,玻璃
267,2261,拓维信息,39.05,31.68,23.26,SZ,
268,603121,华培动力,25.7,20.85,23.26,SH,汽车配件
269,2922,伊戈尔,48.02,38.97,23.22,SZ,
270,688662,富信科技,65.75,53.38,23.17,SH,元器件
271,600216,浙江医药,18.38,14.94,23.03,SH,化学制药
272,603058,永吉股份,13.47,10.95,23.01,SH,广告包装
273,300001,特锐德,33.13,26.94,22.98,SZ,电气设备
274,2428,云南锗业,43.19,35.14,22.91,SZ,
275,600207,安彩高科,5.75,4.68,22.86,SH,电气设备
